"JM PM LTD","*","GL","XOS","USD","GBP;EUR;USD;ZAR","*","*","*","*","%customer_code_usd%","00009","OS","RTRAD","~","4106","~","4106","4101","~","4151","4151","2101","4141","4141","~","~","RBSUS","1278","2078","1148","04","04","01","02","03","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PM LTD","*","SL","ZAR","USD","USD","UK FX; SA FX","*","*","*","%customer_code_usd%","00009","USD","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","RBSUS","2420","90305","90307","~","~","~","~","~","~","~","~"
"JM PMM HK","*","GL","XRH","USD","GBP;EUR;USD;ZAR","*","*","*","*","%party_code_hk%","310","RH","31019","~","3185","~","~","RH","RH","RH","RH","3186","3187","3188","~","~","310","1280","1287","1286","RH","RH","RH","RH","RH","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","GL","XRU","USD","GBP;EUR;USD;ZAR","*","*","*","*","%party_code_hk%","310","RU","31019","~","3185","~","~","RU","RU","RU","RU","3186","3187","3188","~","~","310","1280","1287","1286","RU","RU","RU","RU","RU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - RHODIUM","*","Buy","%party_code_hk%","310","RH","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7522","RH","3101","~","~","~","~","~","~","~","~","~","~","31013","3110","RH","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - OSMIUM","*","Buy","%party_code_hk%","310","OS","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7522","OS","3101","~","~","~","~","~","~","~","~","~","~","31013","3110","OS","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - PLATINUM","*","Buy","%party_code_hk%","310","PT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7522","PT","3101","~","~","~","~","~","~","~","~","~","~","31013","3110","PT","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - IRIDIUM","*","Buy","%party_code_hk%","310","IR","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7522","IR","3101","~","~","~","~","~","~","~","~","~","~","31013","3110","IR","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - PALLADIUM","*","Buy","%party_code_hk%","310","PD","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7522","PD","3101","~","~","~","~","~","~","~","~","~","~","31013","3110","PD","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - RUTHENIUM","*","Buy","%party_code_hk%","310","RU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7522","RU","3101","~","~","~","~","~","~","~","~","~","~","31013","3110","RU","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - GOLD","*","Buy","%party_code_hk%","310","AU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7522","AU","3101","~","~","~","~","~","~","~","~","~","~","31014","3110","AU","31014","3120","~","~","31014","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - SILVER","*","Buy","%party_code_hk%","310","AG","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7522","AG","3101","~","~","~","~","~","~","~","~","~","~","31014","3110","AG","31014","3120","~","~","31014","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - IRIDIUM","*","Sell","%party_code_hk%","310","IR","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7523","IR","3101","~","~","~","~","~","~","~","~","~","~","31013","3110","IR","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - RUTHENIUM","*","Sell","%party_code_hk%","310","RU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7523","RU","3101","~","~","~","~","~","~","~","~","~","~","31013","3110","RU","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - RHODIUM","*","Sell","%party_code_hk%","310","RH","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7523","RH","3101","~","~","~","~","~","~","~","~","~","~","31014","3110","AG","31014","3120","~","~","31014","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - OSMIUM","*","Sell","%party_code_hk%","310","OS","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7523","OS","3101","~","~","~","~","~","~","~","~","~","~","31013","3110","OS","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - PALLADIUM","*","Sell","%party_code_hk%","310","PD","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7523","PD","3101","~","~","~","~","~","~","~","~","~","~","31013","3110","PD","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - SILVER","*","Sell","%party_code_hk%","310","AG","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7523","AG","3101","~","~","~","~","~","~","~","~","~","~","31014","3110","AG","31014","3120","~","~","31014","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - PLATINUM","*","Sell","%party_code_hk%","310","PT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7523","PT","3101","~","~","~","~","~","~","~","~","~","~","31013","3110","PT","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Metal Rentals - GOLD","*","Sell","%party_code_hk%","310","AU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7523","AU","3101","~","~","~","~","~","~","~","~","~","~","31014","3110","AU","31014","3120","~","~","31014","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XAG","USD","GBP;EUR;USD;ZAR","*","*","B","Buy","%party_code_hk%","310","AG","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","AG","AG","AG","AG","AG","~","~","3101","7512","AG","3101","7515","Credit","Debit","7524","AG","Credit","Debit","~","~","~","31014","3110","AG","31014","3120","~","~","31014","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XOS","USD","GBP;EUR;USD;ZAR","*","*","C","Sell","%party_code_hk%","310","OS","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","OS","OS","OS","OS","OS","~","~","3101","7511","OS","3101","7515","Credit","Debit","7522","OS","Credit","Debit","~","~","~","31013","3110","OS","31013","3120","~","~","31013","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XPD","USD","GBP;EUR;USD;ZAR","*","*","C","Sell","%party_code_hk%","310","PD","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","PD","PD","PD","PD","PD","~","~","3101","7511","PD","3101","7515","Credit","Debit","7522","PD","Credit","Debit","~","~","~","31013","3110","PD","31013","3120","~","~","31013","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XPT","USD","GBP;EUR;USD;ZAR","*","*","C","Sell","%party_code_hk%","310","PT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","PT","PT","PT","PT","PT","~","~","3101","7511","PT","3101","7515","Credit","Debit","7522","PT","Credit","Debit","~","~","~","31013","3110","PT","31013","3120","~","~","31013","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XRH","USD","GBP;EUR;USD;ZAR","*","*","C","Sell","%party_code_hk%","310","RH","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","RH","RH","RH","RH","RH","~","~","3101","7511","RH","3101","7515","Credit","Debit","7522","RH","Credit","Debit","~","~","~","31013","3110","RH","31013","3120","~","~","31013","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XRU","USD","GBP;EUR;USD;ZAR","*","*","C","Sell","%party_code_hk%","310","RU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","RU","RU","RU","RU","RU","~","~","3101","7511","RU","3101","7515","Credit","Debit","7522","RU","Credit","Debit","~","~","~","31013","3110","RU","31013","3120","~","~","31013","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","*","USD","HK Physical","Shipping Charges;Receipt Charge","*","*","%party_code_hk%","310"," ","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3130","~","~","1","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","*","*","*","GBP;EUR;USD;ZAR","*","*","*","*","~","00005","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Premium Charge Rh","*","*","%customer_code_eur%","00007","RH","~","TRAE","~","4104","~","~","4101","~","~","~","~","~","~","~","BSEU","1275","2075","1145","04","04","01","02","03","~","~","KL5E","8864","872","8392","8494","Credit","Debit","8844","872","Credit","Debit","~","~","%region_ext_bu%","TE","3111","311","3111","338","~","~","TVRE","3000","~","~","~","~","1182","20","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Premium Charge Ir","*","*","%customer_code_eur%","00007","IR","~","TRAE","~","4103","~","~","4101","~","~","~","~","~","~","~","BSEU","1277","2077","1147","04","04","01","02","03","~","~","KL5E","8863","872","8392","8493","Credit","Debit","8843","872","Credit","Debit","~","~","%region_ext_bu%","TE","3111","311","3111","338","~","~","TVRE","3000","~","~","~","~","1182","20","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Premium Charge Pd","*","*","%customer_code_eur%","00007","PD","~","TRAE","~","4102","~","~","4101","~","~","~","~","~","~","~","BSEU","1274","2074","1144","04","04","01","02","03","~","~","KL5E","8862","872","8392","8492","Credit","Debit","8842","872","Credit","Debit","~","~","%region_ext_bu%","TE","3111","311","3111","338","~","~","TVRE","3000","~","~","~","~","1182","20","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Premium Charge Pt","*","*","%customer_code_eur%","00007","PT","~","TRAE","~","4101","~","~","4101","~","~","~","~","~","~","~","BSEU","1273","2073","1143","04","04","01","02","03","~","~","KL5E","8861","872","8392","8491","Credit","Debit","8841","872","Credit","Debit","~","~","%region_ext_bu%","TE","3111","311","3111","338","~","~","TVRE","3000","~","~","~","~","1182","20","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Premium Charge Ru","*","*","%customer_code_eur%","00007","RU","~","TRAE","~","4105","~","~","4101","~","~","~","~","~","~","~","BSEU","1276","2076","1146","04","04","01","02","03","~","~","KL5E","8865","872","8392","8495","Credit","Debit","8845","872","Credit","Debit","~","~","%region_ext_bu%","TE","3111","311","3111","338","~","~","TVRE","3000","~","~","~","~","1182","20","~","~","~","~","~","~","~","~","~"
