"CN","CN Red Tax","LOAN-ML","Buy;Borrowing","*","J6"
"CN","CN Std Tax","LOAN-ML","Buy;Borrowing","*","JB"
"CN","CN Std Tax","*","Buy","*","JA"
"CN","CN Std Tax","*","Sell","*","X2"
" "," ","*","Buy","*","J0"
" "," ","*","Sell","*","X0"
"CN","Zero Rated","FX","*","*","J0"
"CN","Zero Rated","LOAN-ML","Buy;Borrowing","BANK OF CHINA - BU","J0"
"CN","CN Std Tax","DEPO-ML","Sell;Investing","*","X2"
"*","*","*","*","*","X0"
"CN","CN Std Tax","CASH","Buy","*","X2"
"CN","Zero Rated","CASH","Buy","*","X0"
"CN","Zero Rated","DEPO-ML","Sell;Investing","*","X0"
" "," ","CASH","Buy","*","X0"
" "," ","CASH","Sell","*","J0"
"CN","CN Std Tax","CASH","Sell","*","J2"
"CN","Zero Rated","CASH","Sell","*","J0"
